,id,name,addr,poi_counts_800m,monthly_rent,geometry,poi_entropy_800m
0,B00156YLA3,万科五玠坊,上海市浦东新区杨南路1705弄,"{ ""交通设施"": 164, ""休闲娱乐"": 32, ""公司企业"": 96, ""医疗保健"": 38, ""商务住宅"": 73, ""旅游景点"": 5, ""汽车相关"": 55, ""生活服务"": 260, ""科教文化"": 63, ""购物消费"": 512, ""运动健身"": 33, ""酒店住宿"": 37, ""金融机构"": 10, ""餐饮美食"": 304 }",13750.0,"MULTIPOLYGON (((929953.6512975283 3455682.868366096, 929839.8363900185 3455957.9912656695, 929839.832499128 3455960.4358526566, 929840.4394418712 3455962.018624301, 929841.9264519436 3455963.1956533445, 929843.6188025986 3455964.0486005065, 930208.0165645237 3456081.641950599, 930210.7940861563 3456081.7648994704, 930212.6181806654 3456081.7345657996, 930214.2599668778 3456081.473712512, 930215.6234854019 3456080.9784876765, 930217.100895636 3456080.043748907, 930352.9087177188 3455828.007627424, 930353.072509063 3455826.3478363394, 930353.0266245266 3455825.1233820547, 930352.985381111 3455823.7880760594, 930352.5745164156 3455822.1029606042, 930351.7716643424 3455820.6226599473, 930350.3713349681 3455819.6716407384, 930349.4364100592 3455819.0744753354, 929963.7715392434 3455681.760439213, 929960.2457597373 3455681.159897518, 929958.330359024 3455681.074988796, 929956.4102565858 3455681.1011279775, 929954.5541909982 3455681.9080257975, 929953.6512975283 3455682.868366096)))",3.0168858404782695
1,B00155IVX9,上南花苑,上海市浦东新区齐河路259弄1-44号,"{ ""交通设施"": 217, ""休闲娱乐"": 50, ""公司企业"": 117, ""医疗保健"": 53, ""商务住宅"": 93, ""旅游景点"": 22, ""汽车相关"": 64, ""生活服务"": 295, ""科教文化"": 115, ""购物消费"": 452, ""运动健身"": 93, ""酒店住宿"": 33, ""金融机构"": 54, ""餐饮美食"": 331 }",24750.0,"MULTIPOLYGON (((928830.7018354125 3458426.0098954435, 928824.5969694615 3458427.5178427547, 928818.7708824399 3458431.5944339256, 928727.5891707458 3458618.5968939103, 928726.7205632988 3458625.7821197324, 928727.8942407691 3458632.2797565837, 928730.0105338744 3458634.484688428, 928733.9371763616 3458636.9920731396, 928761.2713461341 3458651.203514865, 928789.2538334723 3458668.3331089946, 928818.9144950989 3458686.648439335, 928838.122699586 3458697.833469678, 928833.204356777 3458844.199209565, 928839.1636310952 3458860.3548330655, 928845.2424811122 3458864.1800083835, 928949.7192086541 3458866.135616573, 929051.0720409967 3458864.7313841176, 929051.0906147491 3458883.06915613, 929109.1607942497 3458884.528356223, 929105.8760205116 3458929.725052429, 929209.0207731135 3458947.8497527726, 929230.0560154233 3458848.539312982, 929032.7879593804 3458795.686816217, 929034.096957131 3458780.0749416975, 929035.9028375864 3458747.5930768275, 929051.4738615947 3458681.047180138, 929057.0659351794 3458654.5118583417, 929065.3176233033 3458633.3173281816, 929092.7976085213 3458528.8468642426, 929092.234805828 3458521.4871445782, 929089.2742011948 3458516.4663395677, 929083.2034987744 3458510.0852736686, 928985.8682652757 3458476.4386161766, 928836.6613120025 3458425.7177939005, 928830.7018354125 3458426.0098954435)))",3.308516291441568
2,B0015573HW,红梅苑(北环路),上海市闵行区三鲁公路467弄128支弄1-67号,"{ ""交通设施"": 39, ""休闲娱乐"": 10, ""公司企业"": 119, ""医疗保健"": 13, ""商务住宅"": 37, ""旅游景点"": 1, ""汽车相关"": 56, ""生活服务"": 126, ""科教文化"": 16, ""购物消费"": 162, ""运动健身"": 4, ""酒店住宿"": 8, ""金融机构"": 9, ""餐饮美食"": 114 }",5224.0375,"MULTIPOLYGON (((932454.2612952718 3440991.3886873187, 932299.7485191987 3440978.598507873, 932129.133355593 3440992.9881593883, 932114.6891884102 3441003.242784499, 932097.0793430884 3441145.0387207125, 932174.1539731179 3441144.205992249, 932432.216977 3441142.880842497, 932454.2612952718 3440991.3886873187)))",3.0406032258308673
3,B00156IJ3V,万科早城,上海市闵行区江榉路588弄,"{ ""交通设施"": 31, ""休闲娱乐"": 5, ""公司企业"": 95, ""医疗保健"": 8, ""商务住宅"": 17, ""旅游景点"": 2, ""汽车相关"": 16, ""生活服务"": 50, ""科教文化"": 25, ""购物消费"": 44, ""运动健身"": 4, ""酒店住宿"": 1, ""餐饮美食"": 77 }",13495.35,"MULTIPOLYGON (((927302.7533072773 3449993.4863312556, 927763.4940556651 3450170.246391902, 927767.9015747242 3450170.4398664953, 927770.1277737523 3450169.9820359303, 927771.8061709437 3450168.8332122825, 927773.0548702627 3450166.443464516, 927792.0410733535 3450110.1598454723, 927793.2300311496 3450106.878330586, 927793.3607010704 3450103.661595165, 927793.2770862387 3450100.990893674, 927791.5736538143 3450098.027059407, 927788.3415758017 3450094.884889371, 927784.3114977537 3450092.485454713, 927525.6659937738 3449994.6902399664, 927323.8997307176 3449916.9602106274, 927319.9253012026 3449915.5640708036, 927316.2844654707 3449915.404674081, 927312.7262067586 3449915.5825207857, 927309.5148983117 3449916.664279912, 927306.8381511889 3449918.769505854, 927304.4997578432 3449922.0009620627, 927304.0445780425 3449923.7589053204, 927303.863236535 3449925.8622942017, 927298.6443339566 3449988.3061774583, 927298.7460982924 3449990.532985639, 927300.490025322 3449992.4983107983, 927302.7533072773 3449993.4863312556)))",3.0097877286478334
4,B0FFGE3STA,金橘新苑,"上海市浦东新区尚博路799弄,尚博路650弄1-20号","{ ""交通设施"": 118, ""休闲娱乐"": 7, ""公司企业"": 53, ""医疗保健"": 41, ""商务住宅"": 45, ""旅游景点"": 4, ""汽车相关"": 41, ""生活服务"": 195, ""科教文化"": 76, ""购物消费"": 122, ""运动健身"": 26, ""酒店住宿"": 8, ""金融机构"": 9, ""餐饮美食"": 78 }",13483.25,"MULTIPOLYGON (((930799.2454354041 3455089.8397723525, 930797.9274260739 3455089.225989381, 930796.0163073079 3455089.030343488, 930794.3518524731 3455089.8456134503, 930793.3442076619 3455091.023570426, 930663.8973495427 3455318.673303984, 930663.0221500495 3455321.3016795074, 930661.850597488 3455324.1392998286, 930661.4451763334 3455327.0107439286, 930661.3179079443 3455330.116962506, 930661.8294356394 3455334.029159511, 930662.8561303241 3455337.0750020635, 930663.9147175518 3455339.344525158, 930665.3561958 3455341.6310196575, 930666.6424993007 3455343.021382517, 930668.6039071816 3455344.330543682, 930928.354036655 3455460.837834929, 931016.2964989743 3455494.50937668, 931075.5876246712 3455513.244376611, 931092.3515750046 3455516.208003131, 931119.24829723 3455517.730185447, 931201.6964413025 3455514.4835978537, 931350.0394499323 3455495.1433944325, 931369.6652166859 3455489.119949498, 931434.145001783 3455453.7379590087, 931450.3269636615 3455438.116197512, 931465.4552087057 3455420.113979366, 931466.9095660478 3455417.3998317644, 931467.3745509286 3455415.41996234, 931467.4792330615 3455412.868537136, 931467.2828868402 3455410.6373204584, 931466.5212246801 3455408.158819975, 931465.0572493506 3455406.4272114453, 931429.1317198311 3455388.8380439426, 931276.2596498006 3455317.4074856224, 931173.0597908678 3455269.8398034787, 931171.4407504236 3455269.5459843795, 931169.4160083581 3455269.7898530904, 931167.464353156 3455270.592719476, 931165.6769198664 3455272.069619195, 931146.7549217963 3455298.3495501126, 931140.5082460002 3455305.630453583, 931134.384586458 3455312.2500047726, 931123.3404802079 3455319.5411163433, 931103.162187329 3455329.651271928, 931080.3294804719 3455336.6436142274, 931078.3048152756 3455336.8874349087, 931076.407575039 3455336.3590391264, 931075.0165791081 3455335.186156142, 931073.9491021677 3455333.138697366, 931073.4563118415 3455331.1165994806, 931073.655715497 3455288.7843077406, 931084.5700754048 3455265.928993553, 931088.0929239893 3455247.8591618547, 931088.274970942 3455245.7556774216, 931088.3386011445 3455244.202759941, 931088.1880470166 3455243.1958297486, 931087.6723967212 3455241.7283396516, 931086.3908928455 3455240.226941073, 930922.9917262552 3455165.4356138185, 930868.4572750491 3455142.9096871833, 930817.7012576237 3455110.10389456, 930811.346856917 3455101.2658511745, 930806.2242458442 3455095.1493920796, 930799.2454354041 3455089.8397723525)))",3.2465228728810045
5,B0FFG7ML2V,湾流域城,上海市浦东新区尚博路518弄,"{ ""交通设施"": 135, ""休闲娱乐"": 20, ""公司企业"": 92, ""医疗保健"": 52, ""商务住宅"": 81, ""旅游景点"": 5, ""汽车相关"": 45, ""生活服务"": 258, ""科教文化"": 82, ""购物消费"": 291, ""运动健身"": 31, ""酒店住宿"": 24, ""金融机构"": 11, ""餐饮美食"": 250 }",31625.0,"MULTIPOLYGON (((930166.631731529 3454850.4806847866, 930165.2369283377 3454854.0862544696, 930165.2647542772 3454855.7543927324, 930166.4923861226 3454858.5869366876, 930168.4357172338 3454860.3398041665, 930281.9984834034 3454906.1502149026, 930339.025325245 3454928.899325808, 930352.5094192906 3454937.0529079554, 930405.8292047135 3454968.3062574803, 930427.5653749033 3454983.4927120595, 930428.286228375 3454984.635873267, 930428.213517617 3454986.4108885317, 930427.9175427266 3454988.953677573, 930395.3125853516 3455037.7421315117, 930309.3128001946 3455169.7382097444, 930308.8389261113 3455171.939882848, 930309.0718097049 3455173.28373861, 930310.2806712645 3455174.226390459, 930315.8364240488 3455176.8058837173, 930342.5972218739 3455186.436078237, 930634.0870740579 3455308.5751353386, 930636.6774997367 3455308.5787499594, 930638.2461952595 3455307.7589530065, 930639.7554151765 3455306.0477968794, 930664.4021122798 3455259.4626816725, 930689.6189123124 3455213.014185578, 930715.0906961646 3455162.6871622987, 930760.159731345 3455085.9996940303, 930762.484255862 3455080.7815199317, 930762.9810090729 3455078.022464236, 930762.9121185021 3455075.0179432426, 930762.131811602 3455072.984916691, 930760.6673515404 3455071.257453287, 930639.6467403158 3454987.5413782196, 930561.8329444858 3454933.534586044, 930550.1055757666 3454927.014668969, 930540.0483428639 3454924.235829869, 930493.443223861 3454916.5062437076, 930487.149073564 3454915.561142536, 930483.5592420996 3454914.179829031, 930480.2568172638 3454912.8112482214, 930454.6654786132 3454891.0087202815, 930452.4938465622 3454887.8009457495, 930398.0719392009 3454822.4931466235, 930392.136507421 3454815.118067059, 930353.6973847648 3454778.9668128816, 930347.1055586573 3454773.563045993, 930336.4401393028 3454766.8679981967, 930234.6180697291 3454706.1304601193, 930232.346393725 3454705.3630204387, 930230.3348974843 3454705.2741675824, 930228.5609654264 3454706.418049898, 930227.4346672376 3454708.1462183134, 930226.008136072 3454712.5284384643, 930166.631731529 3454850.4806847866)))",3.184172874260495
6,B00156DBCP,东方悦居,上海市浦东新区杨思路1121弄之1-85号,"{ ""交通设施"": 169, ""休闲娱乐"": 41, ""公司企业"": 108, ""医疗保健"": 73, ""商务住宅"": 124, ""旅游景点"": 15, ""汽车相关"": 53, ""生活服务"": 371, ""科教文化"": 117, ""购物消费"": 644, ""运动健身"": 35, ""酒店住宿"": 45, ""金融机构"": 27, ""餐饮美食"": 414 }",23375.0,"MULTIPOLYGON (((929300.605230183 3456902.630163342, 929205.377953304 3456878.079176115, 929230.6907320686 3456777.4033675753, 929057.4286525911 3456737.176951459, 928890.9481565598 3456700.0315548466, 928883.058805314 3456700.5716251875, 928873.3438785967 3456710.5884615905, 928850.1541930729 3456794.5778552587, 928829.6304984454 3456872.0172925596, 928827.2612045166 3456892.471675953, 928832.9016576833 3456904.7229469973, 929046.9262033064 3456961.64069609, 929192.5930004427 3456996.2014644514, 929261.1265329849 3457016.5704982425, 929264.5916573586 3457013.9455951755, 929266.3601204793 3457010.578747612, 929300.605230183 3456902.630163342)))",3.07215574753849
7,B0FFFS79HP,瑞和新苑,上海市闵行区浦涛路400弄1-26号,"{ ""交通设施"": 59, ""休闲娱乐"": 14, ""公司企业"": 22, ""医疗保健"": 23, ""商务住宅"": 51, ""旅游景点"": 2, ""汽车相关"": 13, ""生活服务"": 139, ""科教文化"": 37, ""购物消费"": 129, ""运动健身"": 17, ""酒店住宿"": 10, ""金融机构"": 3, ""餐饮美食"": 131 }",19841.8,"MULTIPOLYGON (((932825.837493346 3443750.228875613, 932817.548353929 3443797.871050938, 932807.9093171115 3443850.3434923287, 932788.4510936197 3443917.497981498, 932777.7862763393 3443950.4786672685, 932746.350549366 3444033.4429337783, 932745.9720493293 3444035.648835071, 932746.1138092255 3444036.877425092, 932746.4426963431 3444038.2252403162, 932746.8718306152 3444039.466444008, 932753.5367439797 3444047.870954951, 932754.8331625264 3444049.039103108, 932757.097005215 3444050.0274472455, 932766.5540670059 3444053.553882323, 932820.8135370335 3444074.3805648834, 932822.6804409083 3444075.684889097, 932823.5020186814 3444076.720925788, 932824.1273908648 3444077.859714754, 932824.0593372565 3444079.5234983284, 932823.9180793264 3444080.62854436, 932822.2484994463 3444086.2227651547, 932811.1269157423 3444116.29411539, 932809.6943369034 3444118.4538540114, 932799.6969097918 3444130.461171541, 932798.5286441615 3444130.8544438556, 932797.5655915537 3444130.9233132685, 932796.0367490529 3444130.745233264, 932794.4346527322 3444130.0082154474, 932793.3118751365 3444129.2921277066, 932790.7283041249 3444126.7341776537, 932762.2711886487 3444094.8153484855, 932756.7292761516 3444087.1268512234, 932752.6844422934 3444080.3930917475, 932751.3331442662 3444078.2223222693, 932749.8496627605 3444076.934884973, 932748.2521433288 3444076.0870868345, 932745.2991852583 3444075.5130092, 932742.232140834 3444075.378370579, 932739.6216145582 3444075.819470011, 932736.2352728952 3444076.4486753056, 932731.5711120106 3444077.7997427904, 932729.4079194615 3444079.0384232355, 932727.5005245336 3444081.0660546958, 932725.4654882521 3444083.8660290353, 932724.1881341806 3444086.9213259276, 932720.3106392921 3444097.196910244, 932699.4137178891 3444157.2873228025, 932682.0472153067 3444203.864024351, 932681.9058522023 3444204.969198242, 932682.2301992667 3444206.428000796, 932683.2299323707 3444207.805366454, 932684.4395799942 3444208.7474113256, 932686.5299898407 3444209.2836881448, 932727.8682803622 3444224.432860637, 932728.7082250388 3444225.025206722, 932729.046171044 3444226.151307919, 932728.9733619343 3444227.926070717, 932728.5082198402 3444229.9060121886, 932725.3788904327 3444238.32519371, 932714.6539736607 3444265.746861555, 932714.1842468127 3444267.837591868, 932714.3305409243 3444268.9551923475, 932714.8646761274 3444269.9788040305, 932715.9828532282 3444270.805673293, 932717.9593332082 3444271.781469233, 932779.8915163431 3444302.1688482813, 932835.6519004521 3444330.8400693163, 932836.7975218161 3444331.0012900713, 932837.660023767 3444331.039091245, 932838.6365556775 3444330.637518917, 932839.0518014097 3444329.8778032027, 932839.6399500682 3444327.236771888, 932840.1415822571 3444324.369519548, 932852.8356073198 3444253.584145469, 932866.4916908162 3444178.062627064, 932875.3237745482 3444157.002828221, 932882.0495473521 3444121.738003351, 932898.1560644308 3444042.6568252887, 932904.9451444137 3444003.505244457, 932905.3740141981 3444002.412825713, 932906.1770776897 3444001.5589270624, 932907.0487370894 3444001.374952612, 932908.3904725602 3444001.433818514, 932911.8134772559 3444002.2505797935, 933013.4137592249 3444020.48261631, 933014.5637182088 3444020.533118411, 933015.6271603266 3444020.357398115, 933016.1336000022 3444019.712924397, 933016.7449513013 3444018.850724114, 933017.2056683935 3444016.9817144764, 933035.3599259014 3443925.432677384, 933055.2891997187 3443832.7389775845, 933055.3574572729 3443831.07513257, 933055.0105591412 3443830.1708706445, 933054.0885514657 3443829.2414843077, 933052.4956584664 3443828.2827894525, 933050.2273490593 3443827.405511401, 932947.030242316 3443789.54639496, 932831.2226021385 3443747.6869041156, 932828.7578896213 3443746.9122247454, 932827.8038753446 3443746.7592487526, 932827.0236141982 3443747.0582119697, 932826.4303010523 3443747.4767251094, 932826.1930955003 3443748.5776482034, 932825.837493346 3443750.228875613)))",3.1019911575511943
8,B00155CGES,紫竹华庭,上海市浦东新区昌里东路333弄1-14号,"{ ""交通设施"": 154, ""休闲娱乐"": 26, ""公司企业"": 69, ""医疗保健"": 70, ""商务住宅"": 105, ""旅游景点"": 3, ""汽车相关"": 49, ""生活服务"": 329, ""科教文化"": 88, ""购物消费"": 336, ""运动健身"": 55, ""酒店住宿"": 26, ""金融机构"": 44, ""餐饮美食"": 219 }",5500.0,"MULTIPOLYGON (((929552.678869319 3458188.360812246, 929533.746805955 3458189.189362167, 929525.7690616201 3458196.6154604866, 929522.4559912074 3458204.9148693057, 929521.80418404 3458361.6941425055, 929538.7651082487 3458376.225858173, 929543.3476319317 3458376.76218214, 929551.9022949717 3458359.9155075387, 929614.9555187931 3458387.379359389, 929630.5677046683 3458345.7291856343, 929661.0592244335 3458266.286106606, 929670.6486779291 3458226.4807215896, 929668.6367394102 3458221.72403756, 929633.1910067378 3458208.818685102, 929552.678869319 3458188.360812246)))",3.2454226502013586
9,B0FFG77UNK,新世纪花苑2期,上海市浦东新区耀华路579弄1-128号,"{ ""交通设施"": 40, ""休闲娱乐"": 4, ""公司企业"": 60, ""医疗保健"": 14, ""商务住宅"": 36, ""旅游景点"": 9, ""汽车相关"": 9, ""生活服务"": 63, ""科教文化"": 9, ""购物消费"": 31, ""运动健身"": 3, ""酒店住宿"": 8, ""金融机构"": 11, ""餐饮美食"": 25 }",6831.0,"MULTIPOLYGON (((926523.7036768035 3457695.943979147, 926584.9486740942 3457694.3970693443, 926586.3986811418 3457677.569376541, 926588.1252242934 3457675.1999140447, 926591.0915746178 3457672.996019729, 926595.4309539458 3457672.4077480445, 926728.3682437169 3457678.9987925715, 926738.1243836246 3457552.074792429, 926741.4705720907 3457552.3324253676, 926743.0703475507 3457515.2860887293, 926718.6830895364 3457499.4394648364, 926709.9918345021 3457512.727806431, 926695.7648703868 3457504.104486663, 926688.9723947383 3457513.1419644156, 926632.4258698362 3457472.1086992994, 926645.3434139963 3457451.559418735, 926602.531606575 3457419.461848114, 926598.3241116905 3457419.1669908618, 926592.671497206 3457419.0310304556, 926573.9332735888 3457422.3239432094, 926567.1927793105 3457425.3631678694, 926563.28267372 3457427.1924975966, 926543.753521967 3457452.342931975, 926531.783987801 3457480.2682582615, 926520.7933032052 3457514.792746263, 926512.9978423596 3457548.5678392057, 926509.62032036 3457584.536341414, 926509.292389764 3457611.5255651893, 926510.3292326878 3457633.240427313, 926514.4340407695 3457664.4237670116, 926523.7036768035 3457695.943979147)))",3.3205051874757734
